,year,state,race,sex,age,state_fips,population
20991,1989,NE,2,1,2,7533,11129
20992,1989,NE,2,1,3,6696,6323
20993,1989,NE,2,1,4,5270,3293
20994,1989,NE,2,1,5,4867,1805
20995,1989,NE,2,2,1,13082,16300
20996,1989,NE,2,2,2,7781,11712
20997,1989,NE,2,2,3,7223,7342
20998,1989,NE,2,2,4,5704,3861
20999,1989,NE,2,2,5,5270,2719
21000,1989,NH,1,1,1,1650,155629
21001,1989,NH,1,1,2,990,141402
21002,1989,NH,1,1,3,990,119589
21003,1989,NH,1,1,4,990,66689
21004,1989,NH,1,1,5,1650,48834
21005,1989,NH,1,2,1,1650,149844
21006,1989,NH,1,2,2,990,142942
21007,1989,NH,1,2,3,990,118204
21008,1989,NH,1,2,4,990,69450
21009,1989,NH,1,2,5,1650,73735
21010,1989,NH,2,1,1,3234,3207
21011,1989,NH,2,1,2,1914,3292
21012,1989,NH,2,1,3,1881,1917
21013,1989,NH,2,1,4,1848,718
21014,1989,NH,2,1,5,2079,257
21015,1989,NH,2,2,1,3135,3096
21016,1989,NH,2,2,2,1914,2849
21017,1989,NH,2,2,3,1815,1890
21018,1989,NH,2,2,4,1749,656
21019,1989,NH,2,2,5,2376,319
21020,1989,NJ,1,1,1,3570,815254
21021,1989,NJ,1,1,2,2142,787580
21022,1989,NJ,1,1,3,2142,664091
21023,1989,NJ,1,1,4,2142,457766
21024,1989,NJ,1,1,5,3570,368381
21025,1989,NJ,1,2,1,3570,773096
21026,1989,NJ,1,2,2,2142,778772
21027,1989,NJ,1,2,3,2142,686118
21028,1989,NJ,1,2,4,2142,499074
21029,1989,NJ,1,2,5,3570,559751
21030,1989,NJ,2,1,1,7140,227112
21031,1989,NJ,2,1,2,4284,180057
21032,1989,NJ,2,1,3,4284,128401
21033,1989,NJ,2,1,4,4284,68673
21034,1989,NJ,2,1,5,7038,33754
21035,1989,NJ,2,2,1,7140,220334
21036,1989,NJ,2,2,2,4284,194277
21037,1989,NJ,2,2,3,4284,148820
21038,1989,NJ,2,2,4,4284,81315
21039,1989,NJ,2,2,5,7072,53488
21040,1989,NM,1,1,1,5775,213560
21041,1989,NM,1,1,2,3465,158769
21042,1989,NM,1,1,3,3465,132823
21043,1989,NM,1,1,4,3465,82518
21044,1989,NM,1,1,5,5775,64181
21045,1989,NM,1,2,1,5775,204228
21046,1989,NM,1,2,2,3465,158746
21047,1989,NM,1,2,3,3465,135040
21048,1989,NM,1,2,4,3465,88942
21049,1989,NM,1,2,5,5775,84328
21050,1989,NM,2,1,1,9870,39052
21051,1989,NM,2,1,2,5775,23813
21052,1989,NM,2,1,3,6055,14309
21053,1989,NM,2,1,4,5635,6701
21054,1989,NM,2,1,5,7420,4224
21055,1989,NM,2,2,1,9765,38774
21056,1989,NM,2,2,2,5845,24218
21057,1989,NM,2,2,3,5950,15806
21058,1989,NM,2,2,4,5460,8508
21059,1989,NM,2,2,5,7700,5396
21060,1989,NV,1,1,1,2720,136355
21061,1989,NV,1,1,2,1632,137287
21062,1989,NV,1,1,3,1632,114592
21063,1989,NV,1,1,4,1632,74518
